X13A1 X13A2 X13A3 IC39A1 IC39A2 IC39A3 genenames
400 327 349 328 394 408 NMNAT1
55 51 30 53 43 38 TMEM274P
5068 4517 4871 4840 5483 5916 UBE4B
23221 19124 21054 28975 32102 34903 KIF1B
28 26 20 47 63 68 RNU6-37P
214 122 166 301 378 374 NA
118 95 109 188 226 264 NA
17558 16094 17686 11486 13558 14732 PGD
73 79 82 60 81 65 CENPS
2850 2351 2642 1829 2107 2233 DFFA
968 784 862 534 641 720 PEX14
65 46 46 52 57 66 NA
506 446 507 284 353 447 CASZ1
114 88 102 50 54 54 NA
15608 13058 15014 8827 9288 9845 TARDBP
573 432 504 432 491 528 MASP2
1055 1075 1091 914 1241 1476 SRM
139 120 150 84 100 102 NA
2777 2437 2681 2081 2337 2579 EXOSC10
6321 5746 6349 6050 6724 7542 MTOR
25 33 29 37 43 38 MTOR-AS1
76 71 61 88 81 96 ANGPTL7
856 796 924 745 939 1021 UBIAD1
394 275 320 508 745 901 DISP3
304 234 227 212 298 371 FBXO44
2394 2029 2354 1195 1500 1594 MAD2L2
120 104 72 68 86 87 FBXO6
3869 3145 3325 4837 5934 6041 DRAXIN
82 55 67 20 28 27 NA
626 584 590 260 353 355 AGTRAP
1341 1144 1270 1318 1611 1648 MTHFR
2328 2113 2106 2300 2784 3133 CLCN6
113 116 90 46 76 82 NA
1533 1288 1444 789 947 1035 KIAA2013
2234 1828 2045 912 1199 1272 PLOD1
5622 4811 5520 3668 4279 4618 MFN2
1155 923 1073 567 795 808 MIIP
138 89 79 63 96 125 TNFRSF1B
4516 3681 4092 4909 5301 5773 VPS13D
51 31 20 35 34 37 DHRS3
6555 5228 5849 1769 2097 2152 PDPN
5488 4653 5248 4339 4782 5263 PRDM2
40 36 49 46 46 35 NA
1766 1608 1720 1253 1422 1624 KAZN
67 39 46 73 79 74 NA
124 83 96 112 146 170 NA
35 31 46 42 68 55 NA
106 97 104 102 132 147 NA
68 35 48 52 70 59 NA
67 58 63 50 87 89 TMEM51-AS1
378 283 348 165 180 221 TMEM51
356 299 316 266 325 372 FHAD1
75 76 76 65 81 86 LOC124903852
1181 943 1078 710 951 1080 EFHD2
54 28 29 28 38 18 CELA2B
516 412 465 319 407 466 CASP9
1603 1360 1578 1113 1161 1229 DNAJC16
36 58 52 26 42 31 AGMAT
65 40 57 27 42 34 NA
2547 2238 2396 1331 1434 1508 DDI2
2514 2135 2267 1439 2091 2270 PLEKHM2
85 69 57 39 60 70 NA
21 30 25 35 53 73 SLC25A34
158 149 148 615 769 777 FBLIM1
684 575 688 337 472 454 SPEN-AS1
346 244 304 107 143 167 UQCRHL
11325 9667 10270 8166 9294 10691 SPEN
1292 1017 1165 998 1342 1516 ZBTB17
11 20 21 33 41 30 NA
75 43 62 13 19 20 CLCNKB
1739 1490 1681 795 1064 1086 EPHA2
41 42 53 31 33 30 NA
160 134 116 105 138 132 ARHGEF19
205 178 197 204 268 281 NA
156 130 130 99 109 140 CPLANE2
2202 1802 2040 1969 2288 2450 FBXO42
3492 2991 3464 2927 3703 3845 SZRD1
33 34 33 41 42 35 RPL22P3
58 42 51 69 78 81 SPATA21
1396 1260 1315 759 961 1018 NECAP2
525 446 497 544 634 641 CROCCP3
263 202 213 221 291 257 LINC01772
63 70 80 26 44 24 RNU1-1
75 57 65 44 43 39 NA
127 113 113 35 75 79 LINC01783
119 59 83 62 56 69 NA
2541 2179 2467 2780 3004 3124 NBPF1
105 71 115 83 75 69 NA
1212 1127 1170 827 969 992 CROCCP2
350 347 384 224 234 180 NA
2315 1989 2134 1615 2217 2654 CROCC
472 338 452 172 282 294 LINC03126
117 96 95 64 56 58 LOC105376805
175 157 223 69 126 112 RNU1-2
69 78 93 33 45 55 NA
124 92 111 33 55 45 NA
736 796 730 534 860 894 MFAP2
1099 911 1022 1038 1481 1725 ATP13A2
1213 1040 1149 828 921 961 SDHB
40 20 32 140 170 186 PADI2
9232 8425 9284 7882 9292 9834 RCC2
126 95 115 92 112 99 NA
65 43 47 29 38 34 NA
2188 1789 1921 1481 1948 2189 ARHGEF10L
13 10 5 103 112 139 IGSF21
2776 2156 2243 234 223 288 PAX7
100 70 71 7 4 10 NA
994 880 882 451 575 618 ALDH4A1
687 542 657 613 719 721 IFFO2
49 42 48 52 42 63 NA
16900 14390 16024 12919 14606 16285 UBR4
256 201 245 152 184 188 EMC1-AS1
3507 3046 3296 3187 3800 3895 EMC1
1317 1323 1374 1194 1419 1511 MRTO4
16 23 17 24 40 38 NA
76 78 60 56 89 71 AKR7L
61 52 60 29 53 73 AKR7A3
69 70 94 98 76 86 NA
196 185 224 237 258 316 NA
2209 1908 2081 1404 1827 1891 AKR7A2
506 405 497 331 491 498 SLC66A1
8972 7545 8727 5343 6500 6763 CAPZB
58 50 55 53 74 85 NA
53 33 43 56 44 52 NA
266 275 289 427 525 477 MICOS10
117 117 113 124 159 117 NBL1
45 37 39 41 65 56 NA
25 24 36 41 49 66 NA
2095 1831 2087 1542 1486 1767 OTUD3
55 57 61 47 54 52 NA
374 332 356 387 436 471 UBXN10
253 195 186 56 47 66 VWA5B1
1221 1032 1118 1424 1608 1655 CAMK2N1
1021 931 992 724 887 915 MUL1
491 344 385 247 346 362 PINK1
120 104 127 156 223 203 PINK1-AS
4224 3747 4135 2732 3430 3614 DDOST
474 382 340 200 276 276 KIF17
325 299 314 92 54 94 SH2D5
12803 11458 12522 13409 14005 14492 HP1BP3
9360 7657 8563 10430 11628 12526 EIF4G3
32 27 26 65 82 92 HSPE1P27
1900 1585 1860 901 1105 1175 ECE1
523 422 473 278 330 354 NBPF3
1257 1447 1434 1326 1719 1798 ALPL
175 133 165 218 343 382 RAP1GAP
4411 3719 4136 3632 3838 4132 USP48
4871 4021 4466 1465 2325 2724 HSPG2
